Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2020-07-27,Tidak Banjir,,,,
2020-07-28,Tidak Banjir,,,,
2020-07-29,Tidak Banjir,,,,
2020-07-30,Tidak Banjir,,,,
2020-07-31,Tidak Banjir,,,,
2020-08-01,Tidak Banjir,,,,
2020-08-02,Tidak Banjir,,,,
2020-08-03,Tidak Banjir,,,,
2020-08-04,Tidak Banjir,,,,
2020-08-05,Tidak Banjir,,,,
2020-08-06,Tidak Banjir,,,,
2020-08-07,Tidak Banjir,,,,
2020-08-08,Tidak Banjir,,,,
2020-08-09,Tidak Banjir,,,,
2020-08-10,Tidak Banjir,,,,
2020-08-11,Tidak Banjir,,,,
2020-08-12,Tidak Banjir,,,,
2020-08-13,Tidak Banjir,,,,
2020-08-14,Tidak Banjir,,,,
2020-08-15,Tidak Banjir,,,,
2020-08-16,Tidak Banjir,,,,
2020-08-17,Tidak Banjir,,,,
2020-08-18,Tidak Banjir,,,,
2020-08-19,Tidak Banjir,,,,
2020-08-20,Tidak Banjir,,,,
2020-08-21,Tidak Banjir,,,,
2020-08-22,Tidak Banjir,,,,
2020-08-23,Tidak Banjir,,,,
2020-08-24,Tidak Banjir,,,,
2020-08-25,Tidak Banjir,,,,
2020-08-26,Tidak Banjir,,,,
2020-08-27,Tidak Banjir,,,,
2020-08-28,Tidak Banjir,,,,
2020-08-29,Tidak Banjir,,,,
2020-08-30,Tidak Banjir,,,,
2020-08-31,Tidak Banjir,,,,
2020-09-01,Tidak Banjir,,,,
2020-09-02,Tidak Banjir,,,,
2020-09-03,Tidak Banjir,,,,
2020-09-04,Tidak Banjir,,,,
2020-09-05,Tidak Banjir,,,,
2020-09-06,Tidak Banjir,,,,
2020-09-07,Tidak Banjir,,,,
2020-09-08,Tidak Banjir,,,,
2020-09-09,Tidak Banjir,,,,
2020-09-10,Tidak Banjir,,,,
2020-09-11,Tidak Banjir,,,,
2020-09-12,Tidak Banjir,,,,
2020-09-13,Tidak Banjir,,,,
2020-09-14,Tidak Banjir,,,,
2020-09-15,Tidak Banjir,,,,
2020-09-16,Tidak Banjir,,,,
2020-09-17,Tidak Banjir,,,,
2020-09-18,Tidak Banjir,,,,
2020-09-19,Tidak Banjir,,,,
2020-09-20,Tidak Banjir,,,,
2020-09-21,Tidak Banjir,,,,
2020-09-22,Banjir,,,Banjarnegara,"-7.88108, 109.85903"
2020-09-23,Tidak Banjir,,,,
2020-09-24,Tidak Banjir,,,,
2020-09-25,Tidak Banjir,,,,
2020-09-26,Tidak Banjir,,,,
2020-09-27,Tidak Banjir,,,,
2020-09-28,Tidak Banjir,,,,
2020-09-29,Tidak Banjir,,,,
2020-09-30,Tidak Banjir,,,,
2020-10-01,Tidak Banjir,,,,
2020-10-02,Tidak Banjir,,,,
2020-10-03,Tidak Banjir,,,,
2020-10-04,Tidak Banjir,,,,
2020-10-05,Tidak Banjir,,,,
2020-10-06,Tidak Banjir,,,,
2020-10-07,Tidak Banjir,,,,
2020-10-08,Tidak Banjir,,,,
2020-10-09,Tidak Banjir,,,,
2020-10-10,Tidak Banjir,,,,
2020-10-11,Tidak Banjir,,,,
2020-10-12,Tidak Banjir,,,,
2020-10-13,Tidak Banjir,,,,
2020-10-14,Tidak Banjir,,,,
2020-10-15,Tidak Banjir,,,,
2020-10-16,Tidak Banjir,,,,
2020-10-17,Tidak Banjir,,,,
2020-10-18,Tidak Banjir,,,,
2020-10-19,Banjir,,,Cilacap,"-7.87413, 108.88868"
2020-10-20,Tidak Banjir,,,,
2020-10-21,Tidak Banjir,,,,
2020-10-22,Tidak Banjir,,,,
2020-10-23,Tidak Banjir,,,,
2020-10-24,Tidak Banjir,,,,
2020-10-25,Tidak Banjir,,,,
2020-10-26,Banjir,,,Purworejo,"-7.87249, 109.99141"
2020-10-26,Banjir,,,Cilacap,"-7.61811, 108.95227"
2020-10-26,Banjir,,,Banyumas,"-7.7788, 109.453"
2020-10-27,Banjir,,,Banyumas,"-7.91094, 109.25666"
2020-10-28,Banjir,,,Grobogan,"-7.52765, 110.33816"
2020-10-28,Banjir,,,Banyumas,"-7.67303, 109.79799"
2020-10-29,Tidak Banjir,,,,
2020-10-30,Tidak Banjir,,,,
2020-10-31,Banjir,,,Pati,"-6.81751, 111.9337"
2020-10-31,Banjir,,,Kota Semarang,"-7.38542, 110.74214"
2020-11-01,Tidak Banjir,,,,
2020-11-02,Banjir,,TMA 5 – 40 cm,Kendal,"-7.31008, 110.36788"
2020-11-03,Tidak Banjir,,,,
2020-11-04,Banjir,,,Banyumas,"-7.76343, 109.1967"
2020-11-05,Banjir,,,Banyumas,"-7.86847, 109.64923"
2020-11-06,Tidak Banjir,,,,
2020-11-07,Tidak Banjir,,,,
2020-11-08,Tidak Banjir,,,,
2020-11-09,Banjir,,,Blora,"-7.52696, 111.94658"
2020-11-09,Banjir,,,Cilacap,"-7.57591, 108.84288"
2020-11-10,Tidak Banjir,,,,
2020-11-11,Tidak Banjir,,,,
2020-11-12,Tidak Banjir,,,,
2020-11-13,Banjir,,,Banyumas,"-7.72152, 109.20373"
2020-11-13,Banjir,,,Brebes,"-7.70197, 108.97757"
2020-11-14,Tidak Banjir,,,,
2020-11-15,Tidak Banjir,,,,
2020-11-16,Banjir,,,Banyumas,"-7.50371, 109.82195"
2020-11-17,Banjir,,,Kebumen,"-7.64736, 109.70385"
2020-11-17,Banjir,,,Banyumas,"-7.69376, 109.30998"
2020-11-18,Tidak Banjir,,,,
2020-11-19,Banjir,,,Kendal,"-7.3654, 110.85905"
2020-11-19,Banjir,,,Kota Semarang,"-7.63113, 110.87775"
2020-11-20,Banjir,,,Kendal,"-7.29163, 110.95959"
2020-11-20,Banjir,,,Grobogan,"-7.44096, 110.68753"
2020-11-21,Tidak Banjir,,,,
2020-11-22,Tidak Banjir,,,,
2020-11-23,Banjir,,,Grobogan,"-7.97581, 110.37558"
2020-11-24,Tidak Banjir,,,,
2020-11-25,Tidak Banjir,,,,
2020-11-26,Tidak Banjir,,,,
2020-11-27,Tidak Banjir,,,,
2020-11-28,Banjir,,,Blora,"-7.44378, 111.75944"
2020-11-29,Banjir,,,Rembang,"-6.97929, 111.63127"
2020-11-29,Banjir,,,Kudus,"-6.95594, 110.98642"
2020-11-29,Banjir,,,Cilacap,"-7.74603, 108.95529"
2020-11-30,Tidak Banjir,,,,
2020-12-01,Banjir,,,Banjarnegara,"-7.44894, 109.78854"
2020-12-02,Banjir,,,Kota Semarang,"-7.60018, 110.68242"
2020-12-02,Banjir,,,Purbalingga,"-7.56235, 109.8542"
2020-12-02,Banjir,,,Banyumas,"-7.91671, 109.17602"
2020-12-03,Banjir,,,Purbalingga,"-7.35353, 109.49811"
2020-12-04,Banjir,,,Cilacap,"-7.96259, 108.94828"
2020-12-05,Banjir,,,Karanganyar,"-7.91969, 110.99921"
2020-12-06,Tidak Banjir,,,,
2020-12-07,Banjir,,Kerugian Materil : • Desa Baleadi : 20 Ha tanaman padi terendam dengan TMA 30-50 cm • Desa Wegil : 10 Ha tanaman padi tergenang dengan TMA 30-50 cm,Pati,"-6.96065, 111.69264"
2020-12-07,Banjir,,,Jepara,"-6.64092, 110.96295"
2020-12-07,Banjir,,250 Ha lahan pertanian terendam,Kudus,"-6.98498, 110.9949"
2020-12-08,Tidak Banjir,,,,
2020-12-09,Banjir,,,Kota Tegal,"-7.7607, 109.65386"
2020-12-10,Banjir,,,Pati,"-6.71813, 111.28608"
2020-12-10,Banjir,,,Kudus,"-6.8113, 110.9258"
2020-12-11,Banjir,,TMA ± 10 - 85 cm,Kudus,"-6.95833, 110.98093"
2020-12-12,Banjir,,,Purbalingga,"-7.60204, 109.49758"
2020-12-13,Banjir,,,Sukoharjo,"-7.71901, 110.99321"
2020-12-13,Banjir,,,Purworejo,"-7.948, 109.99118"
2020-12-13,Banjir,,TMA 10 – 50 cm,Cilacap,"-7.46416, 108.90478"
2020-12-14,Banjir,,,Kota Surakarta,"-7.77109, 110.96938"
2020-12-14,Banjir,,TMA 10 – 80 cm,Cilacap,"-7.86508, 108.84095"
2020-12-15,Banjir,,,Rembang,"-6.98022, 111.68591"
2020-12-15,Banjir,,,Kudus,"-6.90757, 110.99993"
2020-12-16,Banjir,,,Blora,"-7.85825, 111.53853"
2020-12-17,Banjir,,,Grobogan,"-7.18295, 110.35901"
2020-12-17,Banjir,,,Cilacap,"-7.56849, 108.92857"
2020-12-18,Banjir,,,Pati,"-6.97129, 111.18208"
2020-12-18,Banjir,,,Kendal,"-7.69601, 110.80786"
2020-12-18,Banjir,,,Kota Semarang,"-7.44332, 110.71567"
2020-12-19,Banjir,,,Kudus,"-6.90546, 110.95626"
2020-12-19,Banjir,,,Banyumas,"-7.65874, 109.84693"
2020-12-20,Tidak Banjir,,,,
2020-12-21,Banjir,,,Banyumas,"-7.6254, 109.92598"
2020-12-22,Tidak Banjir,,,,
2020-12-23,Tidak Banjir,,,,
2020-12-24,Banjir,,,Pemalang,"-7.73881, 109.60371"
2020-12-25,Banjir,,,Banyumas,"-7.97313, 109.42951"
2020-12-26,Tidak Banjir,,,,
2020-12-27,Banjir,,,Kebumen,"-7.87226, 109.97881"
2020-12-28,Banjir,,,Cilacap,"-7.74275, 108.90558"
2020-12-29,Banjir,,,Purbalingga,"-7.35925, 109.82918"
2020-12-30,Banjir,,,Semarang,"-7.45009, 110.83521"
2020-12-30,Banjir,,,Grobogan,"-7.69597, 110.54752"
2020-12-30,Banjir,,,Pemalang,"-7.5116, 109.54848"
2020-12-31,Banjir,,,Demak,"-6.93921, 110.87693"
2020-12-31,Banjir,,,Kendal,"-7.5263, 110.75693"
2021-01-01,Banjir,,,Cilacap,"-7.5856, 108.8423"
2021-01-01,Banjir,Luapan sungai lusi,Banjir genangan diakibatkan karena luapan sungai lusi,Grobogan,"-7.090671870940358, 110.98354681660662"
2021-01-01,Banjir,,,Pati,"-6.95389, 110.92478"
2021-01-01,Banjir,Hujan Dengan Intensitas Tinggi dan meluapnya sungai kali kemiri,"- Pada pukul 17.30 WIB, Telah terjadi hujan dengan intensitas tinggi di sekitar wilayah kota tegal - Pada pukul 18.30 WIB, Air yang berasal dari aliran kali kemiri mulai masuk ke sekitar Rt.05 s/d 09, Rw.01 Kelurahan Sumurpanggang Kecamatan Margadana Kota Tegal - Pada pukul 22.00 WIB, Aliran air kiriman yang berasal dari Hulu sampai di Hilir sungai kemiri kelurahan sumurpanggang kecamatan margadana kota tegal. - Pada pukul 22.28 WIB, Petugas masih standby di lokasi.",Kota Tegal,"-6.877389240188631, 109.10709122359238"
2021-01-02,Tidak Banjir,,,,
2021-01-03,Tidak Banjir,,,,
2021-01-04,Tidak Banjir,,,,
2021-01-05,Tidak Banjir,,,,
2021-01-06,Tidak Banjir,,,,
2021-01-07,Tidak Banjir,,,,
2021-01-08,Banjir,,,Ngawi,"-7.47661, 111.58403"
2021-01-08,Banjir,aliran sungai Das Plumbon meluap dan menyebabkan banjir.,"Pada hari tsb turun hujan lebat dg intensitas tinggi, shg menyebabkan aliran sungai Das Plumbon meluap dan menyebabkan banjir.Yang terdampak : 300 KK Tinggi genangan : + 1 m - 1,5 m, Kejadian sekitar pkl. 16.00 wib Korban Jiwa : Nihil",Kota Semarang,"-6.995948399019012, 110.43450354919302"
2021-01-08,Banjir,,,Sukoharjo,"-7.72303, 110.84787"
2021-01-09,Banjir,,,Pati,"-6.88242, 110.9568"
2021-01-09,Banjir,LIMPASAN DARI SUNGAI BABAKAN,"Desa Cikeusal Lor blok Campur dan Babakan : diakibatkan oleh sungai kecil yang alirannya terhambat oleh Sungai Babakan saat banjir, Kejadian pukul 17.00 WIB, ketinggian air 50 Cm, tidak ada pengungsian, rumah terendam 100 unit, banjir surut pukul 20.30 WIB",Brebes,"-7.054813, 108.934297"
2021-01-10,Banjir,,,Karanganyar,"-7.58073, 110.92342"
2021-01-10,Banjir,,,Wonogiri,"-7.91489, 110.798"
2021-01-10,Banjir,Hujan Lebat,,Rembang,"-6.751896464843362, 111.64959208251189"
2021-01-11,Banjir,Tanggul jebol,"Banjir di Desa Tegalsambi RT. 09, 10, 11 RW. 02 Kecamatan Tahunan",Jepara,"-6.613578, 110.652761"
2021-01-12,Tidak Banjir,,,,
2021-01-13,Banjir,,Banjir di Desa Lawangrejo menggenangi Kantor Dishub Pemalang,Pemalang,"-6.881436845606067, 109.35860330598163"
2021-01-13,Banjir,,TMA ± 20 – 125 cm,Cilacap,"-7.68467, 108.84784"
2021-01-13,Banjir,,,Purworejo,"-7.59695, 109.9912"
2021-01-14,Tidak Banjir,,,,
2021-01-15,Tidak Banjir,,,,
2021-01-16,Tidak Banjir,,,,
2021-01-17,Banjir,Hujan deras di wilayah Gubug yang terjadi mulai pkl 15.00 - 18.30 WIB,"Hujan deras diwilayah gubug yang terjadi mulai pkl.15.00- 18.30 Wib, mengakibatkan air sungai meluap sampai kerumah penduduk dan akses jalan, ketinggian banjir ±50 cm, untuk genanan sudah surut 1. Kampung margosari, RT.02dan03/02, Ds. Kuwaron, Kec. Gubug 2. Jl. R. Suprapto depan SPBU Gubug 3. Depan SMP N 1 Gubug.",Gubug,"-7.061030276241818, 110.66665367166966"
2021-01-17,Banjir,,TMA 50 – 150 cm,Ngawi,"-7.49348, 111.40919"
2021-01-17,Banjir,," Kec. Mranggen ; Total ± 350 unit rumah terendam dengan TMA 40 – 80 cm, 1 tanggul sungai dolog jebol • Kec. Karangawen ; Total ± 357 unit rumah terendam dengan TMA 10 – 50 cm, 30 Ha lahan pertanian terendam • Kec. Sayung ; Beberapa tanggul jebol",Grobogan,"-6.98057, 110.99281"
2021-01-17,Banjir,sungai pengkol meluap ke pemukiman warga,"Hujan deras dari wil hulu, Kab. Ungaran dg intensitas tinggi mengakibatkan sungai pengkol meluap ke pemukiman warga di Perumahan Dinar Indah. Durasi + 3 jam Ketinggian + 2 meter. Kejadian sekitar pkl. 17.00 wib. Dan yang terdampak sekitar 33 KK / 120 jiwa. Korban Jiwa : Nihil",Kota Semarang,"-6.991859181483679, 110.48805792479602"
2021-01-17,Banjir,,TMA ± 200 cm,Wonogiri,"-7.92982, 110.77129"
2021-01-18,Banjir,,Korban Jiwa : Total ± 2.624 KK / 6.689 jiwa terdampak dengan rincian sbb ; • Kec. Tirto ; 1.253 KK/3.571 jiwa terdampak • Kec. Sragi ; 159 KK/397 jiwa terdampak • Kec. Siwalan ; 1.207 KK/2.703 jiwa terdampak • Kec. Kedungwuni ; 5 KK/18 jiwa terdampak Kerugian Materil : Total ± 2.078 unit rumah terendam dengan rincian sbb ; • Kec. Tirto ; 936 unit rumah terendam • Kec. Sragi ; 159 unit rumah terendam • Kec. Siwalan ; 978 unit rumah terendam • Kec. Kedungwuni ; 5 unit rumah terendam • 1 unit TPQ terdampak • 2 unit SD terdampak • 3 unit balai desa terdampak • 1 unit mushola terdampak • 1 unit PAUD terdampak • TMA 5 – 80 cm,Kebumen,"-7.92863, 109.65296"
2021-01-19,Banjir,,"Banjir di Desa Ketilengsingolelo, Kecamatan Welahan",Jepara,"-6.772125, 110.729146"
2021-01-19,Banjir,,TMA 20 – 30 cm,Grobogan,"-7.21953, 110.69872"
2021-01-19,Banjir,,Kerugian Materil : • Kec. Karangawen - Ds. Kuripan ; tanggul kiri sungai Setu limpas panjang ± 250 meter sudah tertangani - Ds. Bumirejo ; 2 tanggul kanan sungai setu jebol sudah tertangani - Dkh. Turus ; tanggul kiri sungai setu limpas panjang 500 meter belum tertangani • Kec. Guntur - Ds. Banjarejo ; tanggul kiri sungai Setu jebol panjang ± 1 KM sudah tertangani - Ds. Bumirejo ; 3 tanggul kiri sungai setu limpas sudah tertangani • Kec. Sayung ; 1 tanggul jebol • Kec. Karangtengah - Ds. Sampang ; tanggul kanan & kiri sungai Setu limpas ada 11 titik sudah tertangani - Ds. Kedunguter ; 2 tanggul kiri sungai setu limpas sudah tertangani - Ds. Batu ; tanggul kiri sungai Setu limpas panjang ± 150 meter belum tertangani - Ds. Wonowoso ; 20 unit rumah dan jalan Desa terendam. TMA 20 – 30 cm • Kec. Dempet ; jalan utama kampong terendam,Demak,"-6.99311, 110.97033"
2021-01-19,Banjir,,TMA 15 – 120 cm,Banjarnegara,"-7.28595, 109.6829"
2021-01-20,Banjir,"Terjadi hujan deras terus-menerus di wilayah Kecamatan Grobogan, Brati dan sekitarnya","Telah terjadi hujan deras terus di wilayah Kecamatan Grobogan, Brati dan sekitarnya pada hari selasa tgl 19 januari 2021 pada pujul 14.00 sampai 19.30 WIB Menyebabkan meluapnya 5 lima aliran kali dan irigasi yang melintasi sekitar Desa Lemahputih : 1. kali Pucang, 2. Kali Tirem, 3. Kali Jangkung, 4. Kali Tengaran, 5. Kali Lemah Putih",Grobogan,"-7.172431875064489, 110.91178882827855"
2021-01-21,Tidak Banjir,,,,
2021-01-22,Banjir,Telah terjadi hujan deras di wilayah Kecamatan Geyer kurang lebih selama 3 jam.,Telah terjadi hujan deras di wilayah Kecamatan Geyer kurang lebih selama 3 jam. Karena saluran tidak mampu menampung maka air dari arah bukit menyebabkan banjir yang menggenangi rumah warga sebanyak 19 rumah dengan ketinggian air 30- 40 cm dengan aliran yg cukup deras. RT 03 / RW 12 : 1. Margu 2. Tasmin 3. Ngatiyem 4. Sutarman 5. Sarji 6. Suratno 7. Pomo 8. Sutiyem 9. Ngatimin 10. Sukadi 11. Parjiyem 12. Darpo 13. Suyono 14. Suranto 15. Sutarjo Di RT 01 / RW 12 1. Bambang Sukamto 2. Purwono 3. Joko Untoko Di RT 02 / RW 12 1. Siyem,Geyer,"-7.23135811654543, 110.93238881501728"
2021-01-22,Banjir,,Banjir di Kelurahan Sugihwaras Kecamatan Pemalang,Pemalang,"-6.873597241717975, 109.3742182698529"
2021-01-23,Tidak Banjir,,,,
2021-01-24,Banjir,,Penyebab :,Klaten,"-7.62111, 110.63638"
2021-01-25,Banjir,,Banjir di Desa Karanggondang Kec. Mlonggo,Jepara,"-6.50245, 110.699358"
2021-01-26,Tidak Banjir,,,,
2021-01-27,Tidak Banjir,,,,
2021-01-28,Banjir,,TMA 20-60 CM,Jepara,"-6.78052, 110.89217"
2021-01-29,Banjir,"Banjir di sebabkan oleh hujan yang merata dari hari Kamis, Tgl 28 Januari 2021 - hari Jum'at, Tgl 29 Januari 2021","Banjir di sebabkan oleh hujan yang merata dari hari Kamis, Tgl 28 Januari 2021 - hari Jum'at, Tgl 29 Januari 2021",Grobogan,"-7.103618176327366, 110.92723936156479"
2021-01-29,Banjir,,TMA ± 25 – 30 Cm,Magelang,"-7.3972, 110.26161"
2021-01-29,Banjir,,,Pati,"-6.93162, 110.94995"
2021-01-30,Banjir,,• 178 rumah terdampak • 1 mushola terdampak • Pohon tumbang menghalangi jalan • 1 talud jebol,Wonogiri,"-7.96525, 111.24107"
2021-01-31,Tidak Banjir,,,,
2021-02-01,Banjir,,Banjir di Ds. Dorang Kecamatan Nalumsari Dampak : Sebanyak 1004 KK terdampak. 150 Ha Sawah Terendam,Jepara,"-6.791701, 110.754349"
2021-02-02,Banjir,,,Pati,"-6.89615, 110.97495"
2021-02-03,Tidak Banjir,,,,
2021-02-04,Banjir,,TMA ± 10 – 100 cm,Kudus,"-6.84945, 110.87023"
2021-02-05,Tidak Banjir,,,,
2021-02-06,Banjir,, TMA ± 50 – 70 cm,Cilacap,"-7.6102, 108.84891"
2021-02-07,Tidak Banjir,,,,
2021-02-08,Tidak Banjir,,,,
2021-02-09,Tidak Banjir,,,,
2021-02-10,Banjir,,,Rembang,"-6.83687, 111.52557"
2021-02-10,Banjir,,Pengungsi telah kembali ke rumah masing-masing tanggal 11 Februari 2021 • Masih terdapat beberapa desa tergenang air • TMA ± 50 cm,Grobogan,"-6.97173, 110.94944"
2021-02-11,Tidak Banjir,,,,
2021-02-12,Tidak Banjir,,,,
2021-02-13,Banjir,"Terjadi hujan deras yang mengguyur wilayah Kab. Grobogan, pada pukul 19.30 s.d 20.30 WIB, mengakibatkan banjir genangan di Dsn. Ngraji Krajan, RT 04/RW 02.","Telah terjadi hujan deras yang mengguyur wilayah Kab. Grobogan, pada pukul 19.30 sd 20.30 Wib, mengakibatkan banjir genangan di Dsn. Ngraji krajan, RT 04/02, Ds. Ngraji, kec. Purwodadi, Kab. Grobogan Air menggenangi jalan dan beberapa rumah warga dengan ketinggian air mencapai 10-20 cm, data rumah yang tergenang Ds. Ngraji, RT.04/02 1. Arifin 2. Suwoto 3. Suparjo 4. Tukul 5. Narto 6. Mbah nyami 7. Margini, RT.02/02 Hujan deras yang terjadi tadi malam sekitar pukul 19.30 wib - 21.30 Wib, mengakibatkan banjir genangan dibebebrapa desa diwialayah kab. Grobogan, dengan ketinggian air mencapai 10- 30cm, menggenangi jalan desa dan beberapa rumah warga data desa yang terdampak banjir antara lain: 1. Ds. Ngraji, Kec. Purwodadi - Dsn. Ngablak, RT.15/03, 16 rumah - Dsn. Ngraji krajan, RT.04/02 dan RT. 02/02, 7 rumah 2. Ds. Rambat, Kec.Geyer 3. Ds. Ngombak, Kec. Kedungjati",Grobogan,"-7.127465678870215, 110.9272575810878"
2021-02-13,Bsnjir,,Banjir di Dukuh Tempur Desa Sumberrejo RT. 01 RW. 02 Kecamatan Donorojo,Jepara,"-6.599479, 110.78345"
2021-02-14,Banjir,,,Karanganyar,"-7.67699, 110.99794"
2021-02-14,Banjir,Telah terjadi hujan deras sejak hari sabtu tanggal 13 Pebruari 2021 sekitar Pukul 20.00 WIB. Hujan hampir merata diwilayah kec toroh dan sekitarnya. Aliran air hujan dari sekitar kec toroh melintasi saluran air di desa Cengkrong kec Purwodadi.,Telah terjadi hujan deras sejak hari sabtu tanggal 13 Pebruari 2021 sekitar Pukul 20.00 WIB. Hujan hampir merata diwilayah kec toroh dan sekitarnya. Aliran air hujan dari sekitar kec toroh melintasi saluran air di desa Cengkrong kec Purwodadi. Akibat debit yang cukup besar mengakibatkan meluap ke jalan penghubung antar Desa di Desa Cengkrong Kec purwodadi dengan kedalam berfariasi dari 10 sd 25 cm. Arus lalin menjadi tersendat,Grobogan,"-7.102425768694698, 110.87950803885948"
2021-02-14,Banjir,,Banjir di Desa kaliombo Kec. Pecangaan 153 KK terdampak 50 Ha sawah terendam,Jepara,"-6.718812, 110.674099"
2021-02-14,Banjir,,TMA 50 CM,Kudus,"-6.86626, 110.91582"
2021-02-15,Tidak Banjir,,,,
2021-02-16,Banjir,,TMA 20-40 CM,Tulungagung,"-7.9661, 111.7657"
2021-02-17,Banjir,Terjadi hujan deras yang mengguyur wilayah Kec. Toroh yang menyebabkan meluapnya aliran sungai tidak dapat menampung debit air dari Ngablak hingga area persawahan Desa Boloh Kec. Toroh. - Terjadi hujan deras yang mengguyur wilayah Kec. Toroh yang menyebabkan limpasnya debit air Embung Sumberagung 30cm sehingga mengakibatkan genangan di akses jalan.,Telah terjadi hujan deras yang mengguyur wilayah Kec. Toroh yang menyebabkan meluapnya aliran sungai tidak dapat menampung debit air dari ngablak mengakibatkan genangan di akses jalan dan area persawahan di Desa Boloh Kec.Toroh 2. Telah terjadi hujan deras yang mengguyur wilayah Kec. Toroh yang menyebabkan Limpasnya debit air Embung sumberagung 30 CM segingga mengakibatkan genangan di akses jalan dan beberapa Rumah warga di Desa Kenteng Kec.Toroh.,Grobogan,"-7.157954605878252, 110.93806139510761"
2021-02-17,Banjir,,TMA 30 CM,Jepara,"-6.64232, 110.83107"
2021-02-18,Banjir,,,Rembang,"-6.80003, 111.44463"
2021-02-19,Tidak Banjir,,,,
2021-02-20,Tidak Banjir,,,,
2021-02-21,Tidak Banjir,,,,
2021-02-22,Tidak Banjir,,,,
2021-02-23,Banjir,,Dukuh Tempur dan Dukuh Pendem Desa Sumberejo Kec. donorojo TMA 100cm,Jepara,"-6.455619, 110.958926"
2021-02-24,Banjir,,"Desa Pelang Rt 01 Rw 03 Kec. Mayong, Jepara TMA 120 cm 16 KK Terdampak",Jepara,"-6.738862, 110.739556"
2021-02-25,Tidak Banjir,,,,
2021-02-26,Tidak Banjir,,,,
2021-02-27,Tidak Banjir,,,,
2021-02-28,Tidak Banjir,,,,
2021-03-01,Tidak Banjir,,,,
2021-03-02,Tidak Banjir,,,,
2021-03-03,Tidak Banjir,,,,
2021-03-04,Banjir,,,Pekalongan,"-7.17273, 109.63276"
2021-03-05,Tidak Banjir,,,,
2021-03-06,Banjir,,,Banjarnegara,"-7.23128, 109.72805"
2021-03-07,Tidak Banjir,,,,
2021-03-08,Banjir,,,Ponorogo,"-7.81773, 111.73962"
2021-03-09,Tidak Banjir,,,,
2021-03-10,Tidak Banjir,,,,
2021-03-11,Tidak Banjir,,,,
2021-03-12,Banjir,,TMA 50 CM,Madiun,"-7.73957, 111.5239"
2021-03-13,Banjir,"Telah terjadi Hujan deras di wilayah Wirosari, Kradenan, Pulokulon dan sekitarnya pada jam 14.00 - 15.30 WIB","Telah terjadi Hujan deras di wilayah Wirosari, Kradenan, Pulokulon dan sekitarnya pada jam 14.00 - 15.30 Wib yang membuat saluran air tersumbat sampah pepohonan menutupi saluran air hingga menyebabkan air menggenangi rumah warga.",Grobogan,"-7.0905015223899115, 111.05276415136224"
2021-03-14,Tidak Banjir,,,,
2021-03-15,Tidak Banjir,,,,
2021-03-16,Tidak Banjir,,,,
2021-03-17,Banjir,Terjadi hujan deras di wilayah Salatiga dan Kedungjati yang mengakibatkan meluapnya sungai temu ireng di perbatasan Desa Padas dan Desa Deras.,Telah terjadi Hujan deras di wilayah Salatiga dan Kedungjati yang mengakibatkan meluapnya sungai temu ireng di perbatasan Desa Padas dan Desa Deras kec.Kedungjati Kab.Grobogan hingga menyebabkan banjir/genangan di RT02/RW02 dan RT01/RW02 di Dukuh Dawung Desa Padas Kec.Kedungjati.,Grobogan,"-7.192528967840227, 110.67799582818046"
2021-03-18,Tidak Banjir,,,,
2021-03-19,Tidak Banjir,,,,
2021-03-20,Tidak Banjir,,,,
2021-03-21,Tidak Banjir,,,,
2021-03-22,Banjir,LIMPASAN DARI SUNGAI CIBOGO,"Bahwa pada hari Senin, 22 Maret 2021 pukul 16.00WIB sampai dengan 19.00WIB telah terjadi hujan dengan intensitas sedang hingga tinggi dan kenaikan debit air di sungai cibogo, sungai ci raja, cidadap dan sungai pemali mengakibatkan bencana alam yang terjadi di wilayah kecamatan bantarkawung antara lain Pondok Pesantren miftahul khoer Dukuh Gempol Desa Bantarkawung telah terjadi banjir akibat kenaikan debit sungai ciraja dan sungai pemali naik, kondisi saat ini banjir sudah surut.",Brebes,"-7.054813, 108.934297"
2021-03-23,Tidak Banjir,,,,
