Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2020-01-25,Banjir,,Korban Jiwa : 746 Jiwa mengungsi ketempat aman dengan rincian ; Masjid Al Karomah - Balita :7 jiwa - Anak : 33 jiwa - Dewasa : 58 jiwa - Lansia : 8 Jiwa Jumlah = 105 jiwa Mushola Al Ikhsan Tirto - Lansia : 2 Jiwa - Dewasa : 15 Jiwa - Anak anak : 7Jiwa - Balita : 1 Jiwa - Total : 25 Jiwa Stadion Hoegeng - Lansia : 150 Jiwa - Dewasa : 151Jiwa - Anak anak : 70 Jiwa - Balita : 43 Jiwa - Total : 464 Jiwa Aula Kelurahan Pasirkratonkramat - Lansia : - Jiwa - Dewasa : 6 Jiwa - Anak anak : 2 Jiwa - Balita : 1 jiwa Total : 9 Jiwa Mushola Al Ghazali Pasir Sari - Dewasa : 12 Jiwa - Anak anak : 3 Jiwa - Total : 15 Jiwa Mushola Al Karomah Pasir Sari ketinggian air 15-20cm - Lansia : - Jiwa - Dewasa : 14 Jiwa - Anak anak : 5 Jiwa - Total : 19 Jiwa Gedung Al Madina ketinggian air 15-25cm - Lansia : 2 Jiwa - Dewasa : 27 Jiwa - Anak anak : 19 Jiwa Total : 48 Jiwa Mushola Al Hikmah Pasir Sari ketinggian air 15-20cm - DEWASA = 11 jiwa - ANAK : 3 jiwa TOTAL : 14 jiwa,Kebumen,"-7.81518, 109.69188"
2020-01-25,Banjir,,,Batang,"-7.10981, 109.94667"
2020-01-25,Banjir,,,Wonosobo,"-7.40347, 109.89663"
2020-01-25,Banjir,,"Mengungsi: 137 KK/570 jiwa, di masjid al ittihad temboklor, di balaidesa Tembok banjaran Kerugian Materil : Desa tembok banjaran RT05 RW01 kec. Adiwerna terendam 90 rumah Ketinggin air 30 - 60 cm, Desa Tembok lor kecmatan adiwerna Ketinggin air 50 - 150 cm, Dk.Duren sawit rt 1/5 dan RT 5 / 2 ds. Kesuben kecamatan lebaksiu Ketinggin air 50 cm (surut), Dk.maja ds.yamansari kec. Lebaksiu Ketinggin air 40 cm (surut)",Purworejo,"-7.63387, 109.99809"
2020-01-25,Banjir,,"1 orang (MD) A.n. Ning Susana binti Asim/35 thn/P, 2 Jiwa mengungsi ke rumah kerabat Kerugian Materil :  432 unit rumah terendam dengan TMA 20 – 100 cm",Kudus,"-6.77181, 110.81681"
2020-01-25,Banjir,,"Korban Jiwa : 1 Jiwa mengungsi Terdampak (Pendataan) Kerugian Materil : 89 unit rumah terendam, 40 Ha Sawah terendam, 1 ponpes tergenang, 1 unit tanggul jebol",Sragen,"-7.34712, 110.83354"
2020-01-25,Banjir,,,Pati,"-6.63447, 110.90142"
2020-01-25,Banjir,,,Rembang,"-6.85086, 111.39914"
2020-01-26,Banjir,,,Purbalingga,"-7.36563, 109.45498"
2020-01-26,Banjir,,,Banjarnegara,"-7.45461, 109.62829"
