date,Kejadian,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-02-22,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.1,2.3,0.0,2.3,0.3714285714285714
2020-02-26,Tidak Banjir,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.3
2020-02-27,Tidak Banjir,2.4,1.1,0.0,0.0,0.0,0.0,1.2,0.0,2.4,0.6714285714285715
2020-02-28,Tidak Banjir,1.6,0.0,0.0,0.0,0.2,7.7,1.4,0.0,7.7,1.5571428571428572
2020-02-29,Tidak Banjir,0.2,0.0,0.0,0.0,0.0,1.5,2.7,0.0,2.7,0.6285714285714287
2020-03-01,Banjir,1.7,0.0,0.0,0.0,0.2,7.7,4.0,0.0,7.7,1.9428571428571428
2020-03-02,Tidak Banjir,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5714285714285714
2020-03-03,Tidak Banjir,0.0,0.0,1.0,0.3,0.2,0.1,0.0,0.0,1.0,0.2285714285714286
2020-03-04,Tidak Banjir,0.0,0.2,0.3,0.4,0.2,1.7,2.6,0.0,2.6,0.7714285714285715
2020-03-05,Banjir,2.0,1.2,0.3,0.6,0.0,0.0,0.0,0.0,2.0,0.5857142857142856
2020-03-06,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Tidak Banjir,0.1,0.6,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.2571428571428572
2020-03-08,Banjir,0.0,0.0,0.0,0.0,0.3,2.2,1.4,0.0,2.2,0.5571428571428572
2020-03-09,Tidak Banjir,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.1142857142857143
2020-03-10,Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.04285714285714286
2020-03-11,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.5,0.1142857142857143
2020-03-12,Tidak Banjir,0.8,0.3,0.9,0.0,0.0,7.8,2.2,0.0,7.8,1.7142857142857142
2020-03-13,Banjir,0.0,0.2,0.0,0.0,0.2,1.3,1.9,0.0,1.9,0.5142857142857143
2020-03-14,Tidak Banjir,0.0,0.0,0.0,0.1,1.6,1.1,2.2,0.0,2.2,0.7142857142857143
2020-03-15,Tidak Banjir,1.6,0.0,0.0,0.0,0.2,2.6,0.0,0.0,2.6,0.6285714285714287
2020-03-16,Tidak Banjir,0.6,0.0,0.0,0.0,2.5,0.1,1.6,0.0,2.5,0.6857142857142858
2020-03-17,Tidak Banjir,0.3,0.0,0.0,0.2,0.2,1.4,2.0,0.0,2.0,0.5857142857142856
2020-03-18,Tidak Banjir,2.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,3.0,0.7714285714285715
2020-03-19,Tidak Banjir,1.2,2.5,0.7,1.2,1.0,3.3,3.2,0.7,3.3,1.8714285714285717
2020-03-20,Tidak Banjir,2.1,1.3,0.1,0.3,2.5,17.6,2.7,0.1,17.6,3.8000000000000003
2020-03-21,Tidak Banjir,1.9,0.0,0.0,0.2,0.0,0.2,0.3,0.0,1.9,0.37142857142857144
2020-03-22,Banjir,3.0,0.6,0.1,0.5,1.5,0.4,0.4,0.1,3.0,0.9285714285714287
2020-03-23,Tidak Banjir,1.1,3.5,0.2,0.2,0.2,1.2,0.4,0.2,3.5,0.9714285714285715
2020-03-24,Tidak Banjir,0.0,0.2,0.0,0.0,0.1,3.2,0.9,0.0,3.2,0.6285714285714287
2020-03-25,Tidak Banjir,3.4,2.0,0.5,0.0,0.1,0.1,0.0,0.0,3.4,0.8714285714285713
2020-03-26,Tidak Banjir,0.3,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,0.27142857142857146
2020-03-27,Tidak Banjir,3.5,1.7,0.9,0.5,1.7,4.8,1.7,0.5,4.8,2.1142857142857143
